ALB,ART,BGM,BUF,HPN,JFK,LGA,MSS,RME,ROC,SYR
-10.65,-7.25,-10.05,-6.15,-8.35,-6.15,-5.05,-8.95,-10.05,-6.75,-7.85
-9.45,-6.75,-9.45,-5.65,-6.75,-3.95,-3.95,-7.85,-9.45,-6.15,-7.85
-8.95,-6.15,-8.95,-5.05,-5.05,-2.85,-3.95,-7.25,-7.85,-5.05,-7.25
-7.85,-5.05,-7.85,-4.45,-4.45,-1.15,-2.85,-6.75,-6.75,-3.95,-5.65
-7.25,-4.45,-6.15,-3.35,-3.35,-0.65,-1.75,-6.15,-5.65,-2.85,-4.45
-6.15,-3.35,-5.65,-2.85,-2.25,0.65,-0.65,-5.65,-4.45,-1.75,-3.95
-5.05,-2.85,-4.45,-2.25,-1.75,1.75,0.05,-5.05,-3.35,-1.15,-3.35
-4.45,-2.25,-3.35,-1.75,-1.15,2.85,1.75,-4.45,-2.85,-0.65,-2.25
-3.95,-2.25,-2.25,-1.75,-0.65,2.85,2.25,-3.95,-2.85,-0.65,-2.25
-3.35,-2.25,-1.75,-1.75,0.05,2.25,2.25,-3.95,-3.35,-0.65,-2.25
-3.35,-1.75,-1.75,-1.75,0.05,2.25,2.25,-3.35,-2.85,-0.65,-2.25
-2.85,-1.75,-1.15,-1.75,1.15,2.25,2.25,-3.35,-2.85,-0.65,-1.75
-2.25,-1.15,-1.15,-1.75,1.15,2.25,1.75,-2.85,-2.85,-0.65,-0.65
-1.75,-0.65,-1.15,-2.25,0.05,2.25,2.25,-3.35,-2.85,-0.65,0.05
